近几十年来，计算机硬件取得长足进步的主要原因是什么？,使用了超大规模集成电路。
在计算机处理器的四代发展历程中，近年来最先进的处理器中晶体管的集成数量已达到哪个数量级？,几十亿只以上。
使用计算机编程求解一元N次方程的整数解时，通常使用哪种方法？,区间扫描。
自动计算与人计算的关键差异在于什么？,自动计算依据算法通过计算机编程来实现。
为了获得较好的声音效果，数字编码的声音每秒钟通常需要取样大约多少次？,几万次。
一个尺寸为 800 × 600 的 RGB 编码的真彩色图像，在未压缩时需要多少字节来表示？,800 × 600 × 3 字节。
一个8位的二进制数，最多可以表示多少个不同的符号？,256个。
计算思维的含义是什么？,使用现成的软件或者依据特定算法通过编程解决现实问题。
将二进制数“111100”转换为十进制数是多少？,60。
在字长为8位的情况下，十进制数-12的二进制补码是什么？,11110100。
在字长为8位的情况下，十进制数-7的二进制补码是什么？,11111001。
在基本的逻辑运算中，哪种运算的规则是“输入中有1，输出就为1”？,或运算。
计算的自动化能够将算术运算转换为逻辑运算，而逻辑运算是通过什么来实现的？,由电子元件组成的电路。
两个二进制数1101和0110按位异或（XOR）的结果是什么？,1011。
一个逻辑表达式的值有多少种可能性？,两种（真或假）。
在一个特定的三输入与门电路中，要使输出端F为“1”，输入的条件是什么？,输入端a、b、c全为1。
在“小白鼠检验毒水瓶”实验中，用10只小白鼠检验1000瓶水（其中一瓶有毒），检测完毕后可能死亡的小白鼠数量是多少？,1到9只（具体数量取决于有毒水瓶的二进制编码中1的个数）。
在“小白鼠检验毒水瓶”实验中，用10只小白鼠检验1000瓶水，“给小白鼠喂水”这个动作总共大约发生多少次？,500到800次之间（接近 1000 * log2(1000) / 2）。
"在C语言中，下列哪个选项是合法的变量名：`int`, `#a`, `10_a`, `a_10`？",`a_10`。
关于编程语言中的指令，哪种说法是不正确的：低级指令_____通过抽象命名成高级的指令。,可以（原题不正确说法是“无法”）。
关于程序的执行方式，哪种说法是不正确的？,程序不一定只能按语句的顺序执行，可以通过分支和循环改变执行流程。
下列设备中，哪个不属于计算系统：计算机、无人机、吸尘器、5G通讯机站？,吸尘器。
解决同一问题的递归程序与迭代程序，在占用内存空间上通常有什么规律？,递归程序占用的内存空间通常较大。
在一个求 n! 的递归函数中，递归调用的核心语句应该是什么？,`return n*f(n-1);`
一个递归函数，其基准情况是 `if(n==100) return 100;`，递归步骤是 `return n+f(n-1);`，该函数的功能是求什么？,求 100+101+...+n 的值 (当n>=100时)。
一个数列递归定义为 f(1)=0; f(2)=1; f(n)=f(n-1)+f(n-2)，该数列的第6项是什么？,8 (斐波那契数列)。
在冯·诺伊曼体系结构中，运算器和控制器这两大部件位于计算机的哪个核心部分中？,CPU (中央处理器)。
在冯·诺伊曼体系结构中，与主机连接的具有扫描功能的打印机属于哪类设备？,输入/输出设备。
运算器中的ALU（算术逻辑单元）具有什么功能？,既可以进行算术运算，也可以进行逻辑运算。
下列设备中，哪个不属于计算机内存（内存储器）？,硬盘（属于外存）。
在计算机内存中，每个存储单元都有一个固定的编号，这个编号叫作该内存单元的_____。,地址
主板上可拆卸的内存条属于哪种类型的存储器？,RAM (随机存取存储器)。
在计算机主机箱中，HDMI接口通常用来连接什么设备？,显示器。
计算机主板上最重要的核心部件是什么？,CPU (中央处理器)。
目前，普通台式电脑的电源功率大约在哪个水平？,几百瓦。
现代计算系统是由硬件、软件、网络和_____组成的。,人
计算机软件通常由_____和应用软件两部分构成。,系统软件
计算机启动时，BIOS与操作系统的执行顺序是怎样的？,先执行BIOS，后执行操作系统。
在寄存器、片内Cache、板内Cache和内存条这四种存储器中，哪种的读写速度最快？,寄存器。
"下列软件中，哪个不属于操作系统：HarmonyOS, iOS, Android, Office？",Office。
关于进程与内存的描述中，哪项是不正确的？,一个很小的可执行文件在运行时也可能因动态内存分配等原因耗尽内存。
电脑中所有元件级别的底层运算，都是_____运算。,逻辑
"在C/C++语言中，`int`, `double`, `string`, `char` 这几种数据类型中，哪种占用的内存空间最小？",`char`。
在各类编程语言中，哪种语言的目标代码最精简？,机器语言。
在基本的程序结构中，使用`for`语句实现的是什么结构？,循环结构。
在`int`、`double`、`char`和`bool`几种基本类型中，哪种类型可以表示小数？,`double`。
使用C/C++语言编写的同一个程序，在相同的软硬件环境下，使用相同的编译器每次编译生成的目标代码尺寸是否相同？,肯定相同。
C语言程序中必须有一个_____，作为程序执行的入口。,主（main）函数
C语言是基于_____的编程语言，这种编程方式又叫作面向过程编程。,函数
对比高级语言与汇编语言的编程效率和执行效率，下列说法哪个是正确的？,高级语言的编程效率较高。
对于编程语言中的函数返回值，下列说法哪个是正确的？,函数可以没有返回值（例如 `void` 类型）。
"分析以下C语言代码，其运行结果是什么？
c
int m=10;
double n=0.15;
n=m*n;
printf(""the result is:%lf\n"",n);
",1.5
"分析以下C语言代码，其运行结果是什么？
c
int i, sum=0;
for(i=0;i<10;i=i+2) {
  sum=sum+i;
}
printf(""sum=%d\n"",sum);
",20 (计算 0+2+4+6+8)。
"分析以下C语言代码，其运行结果是什么？
c
int sum=0, i=5;
while(true) {
  sum=sum+i;
  i=i-1;
  if(i<=0) break;
}
printf(""sum=:%d\n"",sum);
",15 (计算 5+4+3+2+1)。
"分析以下C语言代码，其运行结果是什么？
c
int f(int a,int n) {
  return a+n;
}
int main() {
  int m=10, n=100;
  printf(""result:%d\n"",f(m,n));
  return 0;
}
",110
"分析以下C语言代码，其运行结果是什么？
c
int s=10,i;
for(i=0;i<3;++i) {
  s=s+i;
}
printf(""%d\n"",s);
",13 (计算 10+0+1+2)。
"分析以下C语言代码，其运行结果是什么？
c
int a=9,n=10;
srand(time(0));
while(true) {
  a=rand()%n;
  if(a==5) break;
}
printf(""%d\n"",a);
",5
"分析以下C语言代码，其运行结果是什么？
c
int sum=0,i=5;
while(true) {
  sum=sum+i;
  i=i-1;
  if(i<=0) break;
}
printf(""%d\n"",sum);
",15
"分析以下C语言代码，其运行结果是什么？
c
int m=200;
double n=0.032;
n=m*n;
printf(""the result is:%.2lf\n"",n);
",6.40
"分析以下C语言代码，其运行结果是什么？
c
int a=30,b=30;
if(a<b) printf(""%d\n"",a-b);
else printf(""%d\n"",a+b);
",60
"分析以下C语言代码，其运行结果是什么？
c
int a[10]={0,1,2,3,4,5,6,7,8,9};
int min=a[9]; int i;
for(i=5;i<10;++i) {
  if(min>a[i]) min=a[i];
}
printf(""min=%d\n"", min);
",5
"分析以下C语言代码，其运行结果是什么？
c
int a=100,i=0;
while(i<5) {
  a=a-1;
  i=i+1;
}
printf(""%d\n"",a);
",95
"分析以下C语言代码，其运行结果是什么？
c
int f(int n) {
  if(n==1) return 1;
  else if(n>1) return f(n-1)+n;
}
int main() {
  printf(""result:%d\n"",f(5));
  return 0;
}
",15 (计算 1+2+3+4+5)。
"分析以下C语言代码，其运行结果是什么？
c
int a=10,b=-20,c;
c=a+b;
if(a>0&&b<0&&c<0) printf(""%d\n"", a);
else printf(""%d\n"", c);
",10
"分析以下C语言代码，其运行结果是什么？
c
void f(int x) {
  x=x+55;
}
int main() {
  int m=10;
  f(m);
  printf(""%d\n"",m);
  return 0;
}
",10 (因为C语言函数参数是值传递，f函数内部对x的修改不影响外部的m)。
"分析以下C语言代码，其运行结果是什么？
c
int a=10; int b=20;
if(a!=b) printf(""%d\n"", a);
else printf(""%d\n"", a+b);
",10
"分析以下C语言代码，其运行结果是什么？
c
int f(int x) {
  return x+40;
}
int main() {
  int m=10;
  printf(""%d\n"",f(m)+100);
  return 0;
}
","150 (f(10)等于50, 50+100等于150)。"
"分析以下C语言代码，其运行结果是什么？
c
int s=10,i;
for(i=0;i<=5;i=i+1) {
  s=s+i;
}
printf(""%d\n"", s);
",25 (计算 10+0+1+2+3+4+5)。
"为求“1+2+...+50”的值，`for`循环的括号内应填写什么？
`for(_____){ sum=sum+i; }`",`i=1;i<=50;++i`
"为求“1+3+5+...+49”的值，`for`循环的括号内应填写什么？
`for(_____){ sum=sum+i; }`",`i=1;i<50;i=i+2`
"在从10个整数中找出最大值的程序中，空白处应填写什么语句？
c
if(max<a[i])
_____
",`max=a[i];`
"为判断数组中是否有重复元素，`if`语句的条件应是什么？
c
for(i=0;i<4;++i)
  for(j=i+1;j<5;++j)
    if(_____) {m=1; break;}
",`a[i]==a[j]`
"一个求数组元素和的函数，其参数应该如何定义？
`int f(_____)`","`int m[], int n` (数组和数组大小)。"
"在选择法排序代码中，如果找到一个比当前最小值更小的值时，应该执行什么操作？
c
if(a[k]<a[i])
{
  _____
}
",`k=i;` (更新最小值的索引)。
针对某个现实问题，人类至今找不到算法，可能的原因有哪些？,可能无法抽象成数学问题、抽象后找不到解法、或证明无解等都可能。
计算机中的算法，除了自然语言、伪语言和程序，还有哪种常见的表示方法？,流程图。
一个算法所代表的过程，在开始和结束方面有什么特性？,必然有一个开始，也必然有一个结束。
根据鸽巢原理，有8个班的同学在一起上课，至少需要随机抽取多少名同学，才能保证抽取的同学中有同班的？,9名。
旅行商问题（TSP）中，使用贪心算法得出的路径长度在所有可能路径中是怎样的？,相对较短的，但不保证是最短的。
当城市数量非常多时，求解旅行商问题（TSP）通常使用贪心算法，而不是遍历所有路径，其原因是什么？,因为遍历所有路径需要的时间过长（呈指数级增长）。
"对于一个四城市的TSP问题，从C点出发，使用贪心算法（每次选择最近的未访问城市）获得的路径是什么？(距离:CD=3, CA=4, CB=5; DA=2, DB=6; AB=7)","CDABC (C->D(3), D->A(2), A->B(7), B->C(5))。"
欧拉在证明“哥尼斯堡七桥问题”无解时，使用的是哪类算法思想？,图解法（将问题抽象为图论问题）。
关于“好的程序”，下列描述中哪一个是普遍认可的？,好的程序一定要添加必要的注释，以提高可读性。
关于数组的特性，下列说法哪个是正确的？,在同一个数组中，只能保存相同类型的数据。
下列数据中，哪一项属于结构化数据？,学生基本信息表。
对图书这类非结构化数据使用倒排索引，主要的好处是什么？,可以通过关键词快速检索到包含该词的书名。
对一组确定的数据，使用相同的排序算法进行升序和降序排列，所耗费的机器资源是否相同？,基本相同。
对于元素个数小于10000的数组排序，冒泡法、插入法和选择法中，通常哪种方法的效率较高？,插入法。
当需要排序的元素个数巨大时（如大于一百万），冒泡法、插入法和选择法这类简单排序算法的效率会呈_____级下降。,指数
选择法排序算法属于内排序还是外排序？,内排序，它属于结构化数据排序的一种。
下列排序算法中，哪一个不属于内排序？,归并法（常用于外排序）。
选择法排序的一个显著特点是什么？,数组元素交换的次数较少。
使用PageRank方法对网页进行排序时，决定网页排名的关键因素是什么？,反向链接（被其他网页链接）的数量和质量越多，网页排名越靠前。
"下列函数中，哪一个属于指数级时间复杂性？ f(n)=n³, f(n)=n²+12, f(n)=n!",f(n)=n! (阶乘)。
关于P问题的描述中，哪一个是正确的？,P问题是可以在多项式时间内求解的问题，即可以在有限的时间内求解。
如果一个问题难以求解，但可以在多项式时间内验证任意一个解的正确性，这类问题叫做_____。,非确定性多项式问题（NP问题）
NPC类问题的典型求解思路是什么？,求近似解，寻找近似算法，将问题简化成P问题来处理。
在解空间探索策略中，哪种策略结合了随机性与方向性，逐步逼近最优解？,导向性随机搜索（如遗传算法、模拟退火）。
遗传算法中，初始种群的选择是怎样的？,完全随机的。
遗传算法中，用于繁衍下一代种群的繁衍规则是怎样确定的？,人为确定的（如交叉、变异的规则）。
在遗传算法中，繁衍种群与下一代种群之间遵循什么关系？,繁衍种群经过“优胜劣汰”的选择后形成下一代种群。
提高遗传算法解决问题效率的关键在于什么？,制定合理的繁衍规则（交叉、变异、选择）。
遗传算法主要用来解决哪一类问题？,NPC类问题（NP完全问题）。
在关于大数据的描述中，哪一种说法是不正确的？,大数据不仅指非结构化数据，也包括结构化数据。
"下列软件中，哪个不属于数据库系统：Foxpro, Oracle, DB2, AutoCAD？",AutoCAD。
关于数据库与数据表的关系，下列描述中哪个是正确的？,一个数据库中可能包含一张或多张数据表。
一个数据表的第一行通常用来定义什么？,字段（或称列名）。
在关系型数据库中，一张数据表中的某个字段类型不可能是_____类型。,两种类型的杂合
在人口信息表中，最适合做主键的字段是哪个？,身份证号码。
在一个数据表中，如果“学号”字段被定义为10位数字，其所对应的域（Domain）是什么？,由数字组成的字符串。
对两个分别有3个字段的数据表做“并(Union)”的关系运算，若它们有2个同名字段，则结果表的字段数量为多少？,4个（3 + 3 - 2 = 4）。
已知S、C、SC三张表，要检索不及格同学的学号、姓名、课程名、成绩，需要对S表和SC表进行哪种核心的关系运算？,自然连接（∞）。
在SQL中，根据字段“成绩”对“成绩管理”表中的所有数据进行降序排列，应使用哪条指令？,`SELECT * FROM 成绩管理 ORDER BY 成绩 DESC;`
在SQL中，从“成绩管理”表中查找姓名为“王小二”的记录，应使用哪条指令？,"`SELECT * FROM 成绩管理 WHERE 姓名=""王小二"";`"
在SQL中，从“成绩管理”表中查找所有姓“王”的同学的记录，应使用哪条指令？,"`SELECT * FROM 成绩管理 WHERE 姓名 LIKE ""王*"";`"
在SQL中，从“成绩管理”表中查找名字中包含“华”字的同学记录，应使用哪条指令？,"`SELECT * FROM 成绩管理 WHERE 姓名 LIKE ""*华*"";`"
在SQL中，查找“成绩管理”表中成绩大于等于90分的记录，应使用哪条指令？,`SELECT * FROM 成绩管理 WHERE 成绩>=90;`
在SQL中，统计“成绩管理”表中选课为“计算思维”的同学的平均分，应使用哪条指令？,"`SELECT AVG(成绩) FROM 成绩管理 WHERE 选课=""计算思维"";`"
关于NoSQL的描述中，哪一项是不正确的？,NoSQL主要用来管理非关系型数据库或大数据，而不是关系数据库。
在超市购物数据挖掘中，“面包=>果酱（支持度＝20%，置信度＝60%）”这条关联规则的含义是什么？,在所有购买面包的用户中，又有60%的人购买了果酱。
去食堂就餐时，如何科学地决定什么时间去能得到最好的饭菜？,对就餐相关数据（如时间、菜品、人流量等）进行挖掘分析。
在网络通讯模型中，“信宿”指的是什么？,信息的接收者。
在各种网络性能指标中，通常起决定性作用的核心指标是什么？,带宽。
目前主流的局域网拓扑结构是哪一种？,星形结构。
关于光纤的描述，哪一项是不正确的？,单模光纤和多模光纤都是单根使用，并非成捆使用。
根据TCP/IP协议规定，一台联网的终端设备可以拥有多少个IP地址？,多个。
"下列IPv4地址中，唯一合法的是哪个？ 255.255.255.256, 255.255.255.-1, 255.255.255.0, 128.255.0",255.255.255.0
在TCP/IP协议的五层模型中，最上层的是哪一层？,应用层。
关于网站IP地址的描述，哪项是正确的？,通过技术手段可以侦测到大多数网站的IP地址。
所谓“云存储”指的是什么？,可以将用户数据存储在网络上不同的存储设备上。
所谓“云计算”指的是什么？,整合网络上的计算资源（服务器、存储等）为用户提供服务。
下列网络交换设备中，哪一个主要功能是提供WIFI上网？,无线路由器。
保证信息安全的技术基础是什么？,密码学。
下列网络安全措施中，理论上最安全的一个是？,不连入任何计算机网络（物理隔离）。
在下列网络行为中，安全风险最高的是哪一个？,使用别人的U盘向自己的机器拷贝文件。
巨量用户在同一时间请求访问某网站服务，导致网站瘫痪，这种攻击方式属于_____攻击。,"拒绝服务（Denial of Service, DoS）"
关于加密后的密文与原文（明文）的长度关系，下列描述唯一正确的是？,密文可能与明文的长度一样。
加密密钥与解密密钥相同的密码体制属于哪一类？,对称密钥密码。
使用一个确定的散列函数（Hash Function）对信息进行处理，所产生的数字签名有什么特点？,是定长的。
在各种计算机病毒类型中，哪一种不进行自我繁殖？,木马病毒。
人工智能（AI）这一概念是在1956年的哪次会议上被提出的？,达特茅斯会议。
艾伦·图灵对于人工智能领域的主要贡献是什么？,提出了著名的图灵测试，作为判断机器是否具有智能的标准。
参加达特茅斯会议的人员，除了计算机专家外，很多人还有_____背景。,心理学
在1975至1980年间，人工智能遭遇第一次低谷的主要原因是什么？,当时的计算机能力不足以支撑复杂的AI算法。
什么是专家系统？,一种基于特定规则库来回答特定领域问题的程序。
2016年，Google的AlphaGo战胜世界围棋冠军李世石，这一事件证明了什么？,机器通过深度学习可以在某一专业领域超过顶尖的人类专家。
目前主流的人工智能技术属于AI三大学派中的哪个学派？,联结主义。
联结主义学派所使用的关键技术是什么？,人工神经网络。
人工神经网络的节点（神经元）通常拥有怎样的输入和输出结构？,拥有多个输入和一个输出。
人工神经网络中，每个节点的输入与输出之间遵循什么关系？,输出是输入的加权和经过一个非线性的激活函数处理后得到的结果，激活函数有一个阈值。
在人脑中，神经元的信号传导方向是怎样的？,从树突接收信号，经细胞体处理，再由轴突传出。
根据赫布理论，人的学习过程改变的是人脑中的什么？,神经元之间的连系强度。
在人工神经网络中，激活函数的主要作用是什么？,引入非线性因素（去线性化），使网络能够学习更复杂的模式。
激活函数ReLU在自变量大于0的情况下，其导数是多少？,等于1。
在机器开始学习（训练模型）之前，可以认为编程的工作处于什么状态？,编程的工作已经结束（算法框架已搭建好）。
所谓无监督学习，指的是学习过程具有什么特点？,学习过程无需使用带有标签的数据。
在强化学习中，模型的建立过程有什么特点？,可能需要通过多次与环境的交互循环（试错）才能建立起理想的模型。
传统的感知器网络属于哪一类人工神经网络？,前馈神经网络。
循环神经网络（RNN）与长短时记忆神经网络（LSTM）结合使用，通常用来处理什么类型的任务？,进行语音识别或处理其他序列数据。
在卷积神经网络（CNN）中，卷积核的主要作用是什么？,进行特征提取（如边缘、纹理等）。